time	input_value	encoder
178	129.87	212153
178.2	130.87	212598
178.4	131.87	213046
178.6	132.87	213494
178.8	133.87	213942
179	134.87	214392
179.2	135.86	214841
179.4	136.86	215295
179.6	137.86	215747
179.8	138.86	216199
180	139.86	216656
180.2	140.86	217111
180.4	141.86	217570
180.6	142.86	218028
180.8	143.86	218486
181	144.86	218946
181.2	145.86	219411
181.4	146.86	219872
181.6	147.86	220338
181.8	148.86	220804
182	149.86	221269
182.2	150.86	221733
182.4	151.86	222199
182.6	152.86	222667
182.8	153.85	223134
183	154.85	223605
183.2	155.85	224072
183.4	156.85	224544
183.6	157.85	225015
183.8	158.85	225486
184	159.85	225958
184.2	160.85	226432
184.4	161.85	226906
184.6	162.85	227380
184.8	163.85	227856
185	164.85	228332
185.2	165.85	228810
185.4	166.85	229287
185.6	167.85	229764
185.8	168.85	230244
186	169.85	230722
186.2	170.85	231203
186.4	171.84	231684
186.6	172.84	232166
186.8	173.84	232646
187	174.84	233128
187.2	175.84	233611
187.4	176.84	234095
187.6	177.84	234583
187.8	178.84	235068
188	179.84	235554
188.2	180.84	236040
188.4	181.84	236525
188.6	182.84	237014
188.8	183.84	237504
189	184.84	237990
189.2	185.84	238483
189.4	186.84	238973
189.6	187.84	239463
189.8	188.84	239954
190	189.83	240445
190.2	190.83	240938
190.4	191.83	241429
190.6	192.83	241922
190.8	193.83	242415
191	194.83	242908
191.2	195.83	243402
191.4	196.83	243897
191.6	197.83	244390
191.8	198.83	244887
192	199.83	245380
192.2	200.83	245878
192.4	201.83	246372
192.6	202.83	246869
192.8	203.83	247366
193	204.83	247864
193.2	205.83	248362
193.4	206.83	248861
193.6	207.83	249361
193.8	208.82	249861
194	209.82	250361
194.2	210.82	250862
194.4	211.82	251361
194.6	212.82	251863
194.8	213.82	252366
195	214.82	252865
195.2	215.82	253368
195.4	216.82	253871
195.6	217.82	254376
195.8	218.82	254880
196	219.82	255384
196.2	220.82	255892
196.4	221.82	256395
196.6	222.82	256902
196.8	223.82	257407
197	224.82	257912
197.2	225.82	258420
197.4	226.81	258927
197.6	227.81	259434
197.8	228.81	259939
198	229.81	260448
198.2	230.81	260955
198.4	231.81	261466
198.6	232.81	261974
198.8	233.81	262483
199	234.81	262991
199.2	235.81	263500
199.4	236.81	264009
199.6	237.81	264520
199.8	238.81	265031
200	239.81	265539
200.2	240.81	266051
200.4	241.81	266563
200.6	242.81	267076
200.8	243.81	267593
201	244.8	268104
201.2	245.8	268621
201.4	246.8	269135
201.6	247.8	269649
201.8	248.8	270162
202	249.8	270674
202.2	250.8	271188
202.4	251.8	271703
202.6	252.8	272216
202.8	253.8	272736
203	254.8	273256
203.2	0.79	273748
203.4	1.79	274157
203.6	2.79	274487
203.8	3.79	274744
204	4.79	274937
204.2	5.79	275074
204.4	6.79	275161
204.6	7.79	275204
204.8	8.79	275209
205	9.79	275209
205.2	10.79	275209
205.4	11.79	275209
205.6	12.79	275209
205.8	13.79	275209
206	14.79	275209
206.2	15.79	275209
206.4	16.79	275209
206.6	17.79	275209
206.8	18.79	275209
207	19.79	275209
207.2	20.79	275209
207.4	21.79	275209
207.6	22.79	275209
207.8	23.79	275209
208	24.79	275209
208.2	25.79	275209
208.4	26.79	275209
208.6	27.79	275209
208.8	28.79	275209
209	29.79	275209
209.2	30.79	275209
209.4	31.79	275209
209.6	32.79	275209
209.8	33.79	275209
210	34.79	275209
210.2	35.79	275209
210.4	36.79	275209
210.6	37.79	275209
210.8	38.79	275209
211	39.79	275209
211.2	40.79	275209
211.4	41.79	275212
211.6	42.79	275252
211.8	43.79	275331
212	44.79	275437
212.2	45.79	275566
212.4	46.79	275713
212.6	47.79	275873
212.8	48.79	276047
213	49.79	276231
213.2	50.79	276424
213.4	51.79	276625
213.6	52.79	276834
213.8	53.79	277051
214	54.79	277274
214.2	55.79	277505
214.4	56.79	277740
214.6	57.79	277981
214.8	58.79	278228
215	59.79	278481
215.2	60.79	278741
215.4	61.79	279005
215.6	62.79	279277
215.8	63.79	279552
216	64.79	279832
216.2	65.79	280117
216.4	66.79	280405
216.6	67.79	280698
216.8	68.79	280997
217	69.79	281299
217.2	70.79	281605
217.4	71.79	281916
217.6	72.79	282231
217.8	73.79	282550
218	74.79	282874
218.2	75.79	283200
218.4	76.79	283530
218.6	77.79	283864
218.8	78.79	284201
219	79.79	284543
219.2	80.79	284889
219.4	81.79	285235
219.6	82.79	285586
219.8	83.79	285940
220	84.79	286297
220.2	85.79	286655
220.4	86.79	287019
220.6	87.79	287383
220.8	88.79	287752
221	89.79	288123
221.2	90.79	288497
221.4	91.79	288875
221.6	92.79	289255
221.8	93.79	289637
222	94.79	290023
222.2	95.79	290410
222.4	96.79	290802
222.6	97.79	291193
222.8	98.79	291588
223	99.79	291987
223.2	100.79	292386
